Time,Type,Page,IP,Country,Dwell,Analytics Fired
06:22:26,ORGANIC,home,5.129.206.247,RU,230.4s,12
06:25:57,DIRECT,contact,38.145.218.189,US,4.0s,1
06:26:49,ORGANIC,home,103.41.33.169,IN,185.2s,8
06:27:58,ORGANIC,home,36.84.18.80,ID,176.5s,12
06:28:58,ORGANIC,home,162.240.154.26,US,272.0s,12
06:29:15,DIRECT,home,103.41.33.169,IN,0.6s,8
06:30:56,DIRECT,home,36.84.18.80,ID,1.1s,12
06:32:02,ORGANIC,home,116.111.255.67,VN,250.8s,12
06:34:13,ORGANIC,home,210.223.44.230,KR,140.5s,12
06:37:41,DIRECT,about,144.124.227.90,NL,7.6s,0
06:38:44,ORGANIC,home,116.80.64.158,JP,150.3s,8
06:39:35,ORGANIC,home,116.68.193.106,BD,241.4s,7
06:40:40,ORGANIC,home,116.80.64.158,JP,268.3s,12
06:41:52,ORGANIC,home,205.209.118.30,US,175.8s,1
06:42:47,ORGANIC,home,116.80.96.107,JP,250.7s,12
06:44:46,ORGANIC,home,116.80.96.101,JP,276.5s,8
06:47:36,ORGANIC,home,45.180.141.206,EC,238.1s,12
06:47:54,ORGANIC,home,190.12.150.244,EC,304.6s,12
06:48:41,ORGANIC,home,194.87.43.49,RU,136.5s,12
06:59:34,ORGANIC,home,186.31.135.201,CO,316.4s,8
06:59:45,ORGANIC,home,64.181.240.152,US,318.0s,1
07:00:42,ORGANIC,home,103.30.30.6,BD,208.8s,10
07:01:01,ORGANIC,home,45.129.141.143,SK,329.9s,8
07:05:29,ORGANIC,home,203.150.128.30,TH,213.6s,8
07:05:34,ORGANIC,home,114.130.153.46,BD,164.8s,8
07:06:28,ORGANIC,home,116.111.255.67,VN,287.8s,11
07:08:57,DIRECT,home,116.80.48.217,JP,7.1s,12
07:08:57,ORGANIC,home,116.80.96.111,JP,133.7s,12
07:09:27,DIRECT,home,36.70.101.226,ID,3.5s,12
07:10:36,DIRECT,home,116.111.255.67,VN,2.5s,10
07:10:45,ORGANIC,home,116.80.49.159,JP,205.7s,10
07:14:51,ORGANIC,home,171.234.48.149,VN,273.6s,5
07:15:28,ORGANIC,home,197.164.101.14,EG,249.6s,8
07:18:00,ORGANIC,home,45.136.130.188,US,223.5s,8
07:21:13,DIRECT,home,45.136.130.188,US,1.0s,12
07:25:27,ORGANIC,home,45.195.99.254,RU,136.6s,8
07:25:36,ORGANIC,home,213.220.62.62,NL,237.2s,12
07:28:13,ORGANIC,home,103.171.244.115,ID,258.9s,8
07:29:32,ORGANIC,home,213.220.62.62,NL,230.6s,12
07:29:51,DIRECT,home,45.195.99.254,RU,29.1s,12
07:30:06,ORGANIC,home,167.71.245.33,US,215.6s,1
07:30:18,ORGANIC,home,38.172.160.182,VE,283.2s,12
07:31:11,ORGANIC,home,201.182.85.122,EC,293.7s,8
07:32:26,ORGANIC,home,116.111.255.67,VN,336.6s,5
07:32:49,ORGANIC,home,122.52.34.247,PH,299.2s,8
07:32:58,ORGANIC,home,213.220.62.62,NL,226.2s,12
07:34:10,ORGANIC,home,1.231.81.166,KR,184.3s,12
07:34:11,ORGANIC,home,103.44.19.220,ID,170.6s,8
07:35:29,DIRECT,contact,20.96.194.191,US,19.1s,1
07:35:51,ORGANIC,home,8.222.175.80,SG,268.5s,1
07:36:30,DIRECT,home,103.44.19.220,ID,0.8s,12
07:36:46,ORGANIC,home,103.172.70.145,ID,223.8s,12
07:37:03,ORGANIC,home,150.136.153.231,US,312.3s,1
07:37:22,DIRECT,home,1.231.81.166,KR,1.1s,12
07:39:04,DIRECT,home,8.222.175.80,SG,0.1s,1
07:39:48,ORGANIC,home,150.107.140.227,ID,263.0s,10
